id,name,prefecture,city,lat,lon,period,official_url,source_url,checked_on,notes,month,next_date
1,さっぽろ雪まつり,北海道,札幌市,43.0591939,141.3422771,例年2月4日〜11日（建国記念の日に合わせた固定日程）,https://www.snowfes.com/,https://www.snowfes.com/,2026-09-22,大通公園を埋め尽くす大雪像と国際雪像コンクールが見どころ。次回日程は推定,2,2027-02-04
2,青森ねぶた祭,青森県,青森市,40.827152,140.737106,例年8月2日〜7日,https://www.nebuta.jp/,https://www.nebuta.jp/info/schedule/schedule.html,2026-09-22,最終日8/7は大型ねぶたの海上運行と花火が同時に見られる,8,2027-08-02
3,秋田竿燈まつり,秋田県,秋田市,39.721066,140.102722,例年8月3日〜6日,https://www.kantou.gr.jp/,https://www.tohokukanko.jp/festivals/detail_10031.html,2026-09-22,差し手が竿燈を掌や額に乗せて操る妙技が見どころ。座標は会場の山王大通り周辺の代表値（要確認）,8,2027-08-03
4,仙台七夕まつり,宮城県,仙台市,38.259258,140.882034,例年8月6日〜8日,https://www.sendaitanabata.com/,https://www.sendaitanabata.com/about/outline/,2026-09-22,仙台駅前から中央通り・一番町のアーケードを彩る豪華な笹飾りが名物,8,2027-08-06
5,三社祭,東京都,台東区,35.712856,139.796585,例年5月第3金曜日〜日曜日,https://www.sanjasama.jp/,https://www.sanjasama.jp/,2026-09-22,本社神輿の宮出し・宮入りと町内神輿の連合渡御が最大の見どころ。次回日程は推定,5,2027-05-21
6,川越まつり,埼玉県,川越市,35.927532,139.488831,例年10月第3日曜日とその前日（土曜日）,https://kawagoematsuri.jp/,https://kawagoematsuri.jp/,2026-09-22,蔵造りの町並みを豪華な江戸系山車が曳き廻される,10,2026-10-17
7,秩父夜祭,埼玉県,秩父市,35.9997780,139.0841149,例年12月2日（宵宮）・3日（本祭）,https://www.chichibuji.gr.jp/,https://www.chichibuji.gr.jp/event/yomatsuri/,2026-09-22,笠鉾・屋台が団子坂を曳き上げる様子と花火が圧巻,12,2026-12-02
8,高山祭（春・山王祭）,岐阜県,高山市,36.13332,137.26268,例年4月14日〜15日,https://hiejinja.com/,https://www.hidatakayama.or.jp/hidatakayama/maturi_spring/,2026-09-22,日枝神社の例大祭。屋台のからくり奉納と御巡幸が見どころ,4,2027-04-14
9,郡上おどり,岐阜県,郡上市,35.750134,136.960220,例年7月第2土曜日（おどり発祥祭）〜9月上旬（おどり納め）。徹夜おどりは8月13日〜16日,https://www.gujohachiman.com/,https://www.gujohachiman.com/kanko/odori.html,2026-09-22,会場は毎晩市街地を移動。盆の徹夜おどりは夜明けまで続く。次回日程は推定,7;8;9,2027-07-10
10,おわら風の盆,富山県,富山市（八尾町）,36.576759,137.130386,例年9月1日〜3日,https://www.owara-gyoujiunei.com/,https://www.owara-gyoujiunei.com/,2026-09-22,胡弓の音色にのせた哀愁ある踊りが八尾11町の坂道を流し歩く,9,2027-09-01
11,祇園祭,京都府,京都市,35.0036536,135.7785991,例年7月1日〜31日（山鉾巡行は前祭7月17日・後祭7月24日）,https://www.yasaka-jinja.or.jp/,https://www.yasaka-jinja.or.jp/event/gion/,2026-09-22,前祭・後祭の山鉾巡行と宵山の提灯・囃子が見どころ,7,2027-07-01
